"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"SB Styris (NZ)","2002-2007",29,48,4,1586,"170",36.04,5,6,5,"https://stats.espncricinfo.com/ci/engine/player/38407.html?class=1;template=results;type=batting;view=innings"
"SO Dowrich (WI)","2015-2020",35,62,8,1570,"125*",29.07,3,9,8,"https://stats.espncricinfo.com/ci/engine/player/431905.html?class=1;template=results;type=batting;view=innings"
"PJ Cummins (AUS)","2011-2025",72,107,13,1567,"64*",16.67,0,3,13,"https://stats.espncricinfo.com/ci/engine/player/489889.html?class=1;template=results;type=batting;view=innings"
"RH Catterall (SA)","1922-1931",24,43,2,1555,"120",37.92,3,11,3,"https://stats.espncricinfo.com/ci/engine/player/44427.html?class=1;template=results;type=batting;view=innings"
"T Taibu (ZIM)","2001-2012",28,54,3,1546,"153",30.31,1,12,5,"https://stats.espncricinfo.com/ci/engine/player/55805.html?class=1;template=results;type=batting;view=innings"
"E Paynter (ENG)","1931-1939",20,31,5,1540,"243",59.23,4,7,3,"https://stats.espncricinfo.com/ci/engine/player/18475.html?class=1;template=results;type=batting;view=innings"
"PJ Hughes (AUS)","2009-2013",26,49,2,1535,"160",32.65,3,7,6,"https://stats.espncricinfo.com/ci/engine/player/272364.html?class=1;template=results;type=batting;view=innings"
"TD Paine (AUS)","2010-2021",35,57,10,1534,"92",32.63,0,9,4,"https://stats.espncricinfo.com/ci/engine/player/7252.html?class=1;template=results;type=batting;view=innings"
"R Ravindra (NZ)","2021-2025",20,37,5,1526,"240",47.68,4,5,1,"https://stats.espncricinfo.com/ci/engine/player/959767.html?class=1;template=results;type=batting;view=innings"
"BF Hastings (NZ)","1969-1976",31,56,6,1510,"117*",30.2,4,7,6,"https://stats.espncricinfo.com/ci/engine/player/37243.html?class=1;template=results;type=batting;view=innings"
"KD Mackay (AUS)","1956-1963",37,52,7,1507,"89",33.48,0,13,6,"https://stats.espncricinfo.com/ci/engine/player/6445.html?class=1;template=results;type=batting;view=innings"
"RR Lindwall (AUS)","1946-1960",61,84,13,1502,"118",21.15,2,5,9,"https://stats.espncricinfo.com/ci/engine/player/6299.html?class=1;template=results;type=batting;view=innings"
"Qasim Umar (PAK)","1983-1986",26,43,2,1502,"210",36.63,3,5,2,"https://stats.espncricinfo.com/ci/engine/player/42362.html?class=1;template=results;type=batting;view=innings"
"JM Parker (NZ)","1973-1980",36,63,2,1498,"121",24.55,3,5,4,"https://stats.espncricinfo.com/ci/engine/player/38113.html?class=1;template=results;type=batting;view=innings"
"RW Barber (ENG)","1960-1968",28,45,3,1495,"185",35.59,1,9,1,"https://stats.espncricinfo.com/ci/engine/player/8982.html?class=1;template=results;type=batting;view=innings"
"Intikhab Alam (PAK)","1959-1977",47,77,10,1493,"138",22.28,1,8,10,"https://stats.espncricinfo.com/ci/engine/player/40567.html?class=1;template=results;type=batting;view=innings"
"Yasir Hameed (PAK)","2003-2010",25,49,3,1491,"170",32.41,2,8,1,"https://stats.espncricinfo.com/ci/engine/player/43656.html?class=1;template=results;type=batting;view=innings"
"MA Agarwal (IND)","2018-2022",21,36,0,1488,"243",41.33,4,6,1,"https://stats.espncricinfo.com/ci/engine/player/398438.html?class=1;template=results;type=batting;view=innings"
"Salman Agha (PAK)","2022-2025",23,44,6,1487,"132*",39.13,3,10,2,"https://stats.espncricinfo.com/ci/engine/player/623977.html?class=1;template=results;type=batting;view=innings"
"WB Phillips (AUS)","1983-1986",27,48,2,1485,"159",32.28,2,7,1,"https://stats.espncricinfo.com/ci/engine/player/7115.html?class=1;template=results;type=batting;view=innings"
"AC Voges (AUS)","2015-2016",20,31,7,1485,"269*",61.87,5,4,2,"https://stats.espncricinfo.com/ci/engine/player/8119.html?class=1;template=results;type=batting;view=innings"
"DL Houghton (ZIM)","1992-1997",22,36,2,1464,"266",43.05,4,4,0,"https://stats.espncricinfo.com/ci/engine/player/55497.html?class=1;template=results;type=batting;view=innings"
"A Symonds (AUS)","2004-2008",26,41,5,1462,"162*",40.61,2,10,4,"https://stats.espncricinfo.com/ci/engine/player/7702.html?class=1;template=results;type=batting;view=innings"
"B Lee (AUS)","1999-2008",76,90,18,1451,"64",20.15,0,5,14,"https://stats.espncricinfo.com/ci/engine/player/6278.html?class=1;template=results;type=batting;view=innings"
"FJ Titmus (ENG)","1955-1975",53,76,11,1449,"84*",22.29,0,10,4,"https://stats.espncricinfo.com/ci/engine/player/21548.html?class=1;template=results;type=batting;view=innings"
"JM Brearley (ENG)","1976-1981",39,66,3,1442,"91",22.88,0,9,6,"https://stats.espncricinfo.com/ci/engine/player/9208.html?class=1;template=results;type=batting;view=innings"
"JA Burns (AUS)","2014-2020",23,40,1,1442,"180",36.97,4,7,6,"https://stats.espncricinfo.com/ci/engine/player/326632.html?class=1;template=results;type=batting;view=innings"
"NR Mongia (IND)","1994-2001",44,68,8,1442,"152",24.03,1,6,6,"https://stats.espncricinfo.com/ci/engine/player/31036.html?class=1;template=results;type=batting;view=innings"
"CEL Ambrose (WI)","1988-2000",98,145,29,1439,"53",12.4,0,1,26,"https://stats.espncricinfo.com/ci/engine/player/51107.html?class=1;template=results;type=batting;view=innings"
"Sikandar Raza (ZIM)","2013-2025",22,42,0,1434,"127",34.14,1,11,3,"https://stats.espncricinfo.com/ci/engine/player/299572.html?class=1;template=results;type=batting;view=innings"
"C de Grandhomme (NZ)","2016-2022",29,44,7,1432,"120*",38.7,2,8,6,"https://stats.espncricinfo.com/ci/engine/player/55395.html?class=1;template=results;type=batting;view=innings"
"WAS Oldfield (AUS)","1920-1937",54,80,17,1427,"65*",22.65,0,4,9,"https://stats.espncricinfo.com/ci/engine/player/7003.html?class=1;template=results;type=batting;view=innings"
"C Kelleway (AUS)","1910-1928",26,42,4,1422,"147",37.42,3,6,1,"https://stats.espncricinfo.com/ci/engine/player/6132.html?class=1;template=results;type=batting;view=innings"
"AF Giles (ENG)","1998-2006",54,81,13,1421,"59",20.89,0,4,9,"https://stats.espncricinfo.com/ci/engine/player/13368.html?class=1;template=results;type=batting;view=innings"
"Hon.FS Jackson (ENG)","1893-1905",20,33,4,1415,"144*",48.79,5,6,3,"https://stats.espncricinfo.com/ci/engine/player/15463.html?class=1;template=results;type=batting;view=innings"
"MW Goodwin (ZIM)","1998-2000",19,37,4,1414,"166*",42.84,3,8,4,"https://stats.espncricinfo.com/ci/engine/player/55456.html?class=1;template=results;type=batting;view=innings"
"RG Nadkarni (IND)","1955-1968",41,67,12,1414,"122*",25.7,1,7,6,"https://stats.espncricinfo.com/ci/engine/player/31760.html?class=1;template=results;type=batting;view=innings"
"Khaled Mashud (BAN)","2000-2007",44,84,10,1409,"103*",19.04,1,3,11,"https://stats.espncricinfo.com/ci/engine/player/55954.html?class=1;template=results;type=batting;view=innings"
"RT Simpson (ENG)","1948-1955",27,45,3,1401,"156*",33.35,4,6,6,"https://stats.espncricinfo.com/ci/engine/player/20198.html?class=1;template=results;type=batting;view=innings"
"Shadman Islam (BAN)","2018-2025",26,49,2,1400,"120",29.78,2,8,5,"https://stats.espncricinfo.com/ci/engine/player/629057.html?class=1;template=results;type=batting;view=innings"
"J Ryder (AUS)","1920-1929",20,32,5,1394,"201*",51.62,3,9,1,"https://stats.espncricinfo.com/ci/engine/player/7416.html?class=1;template=results;type=batting;view=innings"
"KLT Arthurton (WI)","1988-1995",33,50,5,1382,"157*",30.71,2,8,8,"https://stats.espncricinfo.com/ci/engine/player/51110.html?class=1;template=results;type=batting;view=innings"
"Rashid Latif (PAK)","1992-2003",37,57,9,1381,"150",28.77,1,7,4,"https://stats.espncricinfo.com/ci/engine/player/42423.html?class=1;template=results;type=batting;view=innings"
"GP Swann (ENG)","2008-2013",60,76,14,1370,"85",22.09,0,5,5,"https://stats.espncricinfo.com/ci/engine/player/20431.html?class=1;template=results;type=batting;view=innings"
"S Ramesh (IND)","1999-2001",19,37,1,1367,"143",37.97,2,8,3,"https://stats.espncricinfo.com/ci/engine/player/33066.html?class=1;template=results;type=batting;view=innings"
"Wasim Bari (PAK)","1967-1984",81,112,26,1366,"85",15.88,0,6,19,"https://stats.espncricinfo.com/ci/engine/player/43549.html?class=1;template=results;type=batting;view=innings"
"KG Viljoen (SA)","1930-1949",27,50,2,1365,"124",28.43,2,9,5,"https://stats.espncricinfo.com/ci/engine/player/47733.html?class=1;template=results;type=batting;view=innings"
"KAJ Roach (WI)","2009-2025",88,142,31,1363,"58*",12.27,0,1,22,"https://stats.espncricinfo.com/ci/engine/player/230553.html?class=1;template=results;type=batting;view=innings"
"J Dyson (AUS)","1977-1984",30,58,7,1359,"127*",26.64,2,5,4,"https://stats.espncricinfo.com/ci/engine/player/5001.html?class=1;template=results;type=batting;view=innings"
"DJ Richardson (SA)","1992-1998",42,64,8,1359,"109",24.26,1,8,7,"https://stats.espncricinfo.com/ci/engine/player/46978.html?class=1;template=results;type=batting;view=innings"
"JM Anderson (ENG)","2003-2024",188,265,114,1353,"81",8.96,0,1,34,"https://stats.espncricinfo.com/ci/engine/player/8608.html?class=1;template=results;type=batting;view=innings"
"WP Saha (IND)","2010-2021",40,56,10,1353,"117",29.41,3,6,6,"https://stats.espncricinfo.com/ci/engine/player/279810.html?class=1;template=results;type=batting;view=innings"
"HL Collins (AUS)","1920-1926",19,31,1,1352,"203",45.06,4,6,0,"https://stats.espncricinfo.com/ci/engine/player/4602.html?class=1;template=results;type=batting;view=innings"
"Javed Burki (PAK)","1960-1969",25,48,4,1341,"140",30.47,3,4,3,"https://stats.espncricinfo.com/ci/engine/player/40877.html?class=1;template=results;type=batting;view=innings"
"BM Laird (AUS)","1979-1982",21,40,2,1341,"92",35.28,0,11,2,"https://stats.espncricinfo.com/ci/engine/player/6250.html?class=1;template=results;type=batting;view=innings"
"KA Maharaj (SA)","2016-2025",62,95,8,1334,"84",15.33,0,6,19,"https://stats.espncricinfo.com/ci/engine/player/267724.html?class=1;template=results;type=batting;view=innings"
"L Vincent (NZ)","2001-2007",23,40,1,1332,"224",34.15,3,9,4,"https://stats.espncricinfo.com/ci/engine/player/38714.html?class=1;template=results;type=batting;view=innings"
"OG Smith (WI)","1955-1959",26,42,0,1331,"168",31.69,4,6,8,"https://stats.espncricinfo.com/ci/engine/player/52941.html?class=1;template=results;type=batting;view=innings"
"LRD Mendis (SL)","1982-1988",24,43,1,1329,"124",31.64,4,8,2,"https://stats.espncricinfo.com/ci/engine/player/49629.html?class=1;template=results;type=batting;view=innings"
"AK Davidson (AUS)","1953-1963",44,61,7,1328,"80",24.59,0,5,1,"https://stats.espncricinfo.com/ci/engine/player/4902.html?class=1;template=results;type=batting;view=innings"
"SS Das (IND)","2000-2002",23,40,2,1326,"110",34.89,2,9,3,"https://stats.espncricinfo.com/ci/engine/player/28010.html?class=1;template=results;type=batting;view=innings"
"JS Solomon (WI)","1958-1965",27,46,7,1326,"100*",34,1,9,7,"https://stats.espncricinfo.com/ci/engine/player/52944.html?class=1;template=results;type=batting;view=innings"
"DJG Sammy (WI)","2007-2013",38,63,2,1323,"106",21.68,1,5,8,"https://stats.espncricinfo.com/ci/engine/player/53115.html?class=1;template=results;type=batting;view=innings"
"RA Duff (AUS)","1902-1905",22,40,3,1317,"146",35.59,2,6,0,"https://stats.espncricinfo.com/ci/engine/player/4985.html?class=1;template=results;type=batting;view=innings"
"PHKD Mendis (SL)","2022-2025",14,24,3,1316,"182*",62.66,5,5,0,"https://stats.espncricinfo.com/ci/engine/player/784373.html?class=1;template=results;type=batting;view=innings"
"N Boje (SA)","2000-2006",43,62,10,1312,"85",25.23,0,4,5,"https://stats.espncricinfo.com/ci/engine/player/44091.html?class=1;template=results;type=batting;view=innings"
"G Fowler (ENG)","1982-1985",21,37,0,1307,"201",35.32,3,8,3,"https://stats.espncricinfo.com/ci/engine/player/12884.html?class=1;template=results;type=batting;view=innings"
"DW Hookes (AUS)","1977-1985",23,41,3,1306,"143*",34.36,1,8,4,"https://stats.espncricinfo.com/ci/engine/player/5696.html?class=1;template=results;type=batting;view=innings"
"P Nissanka (SL)","2021-2025",18,31,2,1305,"187",45,4,7,0,"https://stats.espncricinfo.com/ci/engine/player/1028655.html?class=1;template=results;type=batting;view=innings"
"MDK Perera (SL)","2014-2021",43,77,8,1303,"95",18.88,0,7,14,"https://stats.espncricinfo.com/ci/engine/player/49920.html?class=1;template=results;type=batting;view=innings"
"CA Davis (WI)","1968-1973",15,29,5,1301,"183",54.2,4,4,1,"https://stats.espncricinfo.com/ci/engine/player/51641.html?class=1;template=results;type=batting;view=innings"
"BW Luckhurst (ENG)","1970-1974",21,41,5,1298,"131",36.05,4,5,4,"https://stats.espncricinfo.com/ci/engine/player/16370.html?class=1;template=results;type=batting;view=innings"
"DR Jardine (ENG)","1928-1934",22,33,6,1296,"127",48,1,10,2,"https://stats.espncricinfo.com/ci/engine/player/15481.html?class=1;template=results;type=batting;view=innings"
"JF Reid (NZ)","1979-1986",19,31,3,1296,"180",46.28,6,2,4,"https://stats.espncricinfo.com/ci/engine/player/38246.html?class=1;template=results;type=batting;view=innings"
"JL Smith (ENG)","2024-2026",20,35,4,1286,"184*",41.48,2,7,1,"https://stats.espncricinfo.com/ci/engine/player/1096092.html?class=1;template=results;type=batting;view=innings"
"RL Dias (SL)","1982-1987",20,36,1,1285,"109",36.71,3,8,2,"https://stats.espncricinfo.com/ci/engine/player/48470.html?class=1;template=results;type=batting;view=innings"
"KS More (IND)","1986-1993",49,64,14,1285,"73",25.7,0,7,7,"https://stats.espncricinfo.com/ci/engine/player/31038.html?class=1;template=results;type=batting;view=innings"
"JW Burke (AUS)","1951-1959",24,44,7,1280,"189",34.59,3,5,0,"https://stats.espncricinfo.com/ci/engine/player/4242.html?class=1;template=results;type=batting;view=innings"
"A Shrewsbury snr (ENG)","1881-1893",23,40,4,1277,"164",35.47,3,4,1,"https://stats.espncricinfo.com/ci/engine/player/20179.html?class=1;template=results;type=batting;view=innings"
"JD Campbell (WI)","2019-2025",28,56,6,1276,"115",25.52,1,3,4,"https://stats.espncricinfo.com/ci/engine/player/348026.html?class=1;template=results;type=batting;view=innings"
"UC Hathurusingha (SL)","1991-1999",26,44,1,1274,"83",29.62,0,8,2,"https://stats.espncricinfo.com/ci/engine/player/49125.html?class=1;template=results;type=batting;view=innings"
"JD Ryder (NZ)","2008-2011",18,33,2,1269,"201",40.93,3,6,4,"https://stats.espncricinfo.com/ci/engine/player/38373.html?class=1;template=results;type=batting;view=innings"
"Shahriar Nafees (BAN)","2005-2013",24,48,0,1267,"138",26.39,1,7,4,"https://stats.espncricinfo.com/ci/engine/player/56153.html?class=1;template=results;type=batting;view=innings"
"V Pollard (NZ)","1965-1973",32,59,7,1266,"116",24.34,2,7,4,"https://stats.espncricinfo.com/ci/engine/player/38129.html?class=1;template=results;type=batting;view=innings"
"K Verreynne (SA)","2021-2025",31,48,6,1266,"136*",30.14,4,3,4,"https://stats.espncricinfo.com/ci/engine/player/595004.html?class=1;template=results;type=batting;view=innings"
"RF Surti (IND)","1960-1969",26,48,4,1263,"99",28.7,0,9,5,"https://stats.espncricinfo.com/ci/engine/player/34174.html?class=1;template=results;type=batting;view=innings"
"M Muralidaran (ICC/SL)","1992-2010",133,164,56,1261,"67",11.67,0,1,33,"https://stats.espncricinfo.com/ci/engine/player/49636.html?class=1;template=results;type=batting;view=innings"
"PWA Mulder (SA)","2019-2025",24,40,5,1253,"367*",35.8,3,1,4,"https://stats.espncricinfo.com/ci/engine/player/698189.html?class=1;template=results;type=batting;view=innings"
"DW Steyn (SA)","2004-2019",93,119,27,1251,"76",13.59,0,2,14,"https://stats.espncricinfo.com/ci/engine/player/47492.html?class=1;template=results;type=batting;view=innings"
"GE Gomez (WI)","1939-1954",29,46,5,1243,"101",30.31,1,8,5,"https://stats.espncricinfo.com/ci/engine/player/51893.html?class=1;template=results;type=batting;view=innings"
"HB Cameron (SA)","1927-1935",26,45,4,1239,"90",30.21,0,10,3,"https://stats.espncricinfo.com/ci/engine/player/44419.html?class=1;template=results;type=batting;view=innings"
"J Da Silva (WI)","2020-2024",33,59,9,1238,"100*",24.76,1,5,5,"https://stats.espncricinfo.com/ci/engine/player/1168667.html?class=1;template=results;type=batting;view=innings"
"G Giffen (AUS)","1881-1896",31,53,0,1238,"161",23.35,1,6,5,"https://stats.espncricinfo.com/ci/engine/player/5382.html?class=1;template=results;type=batting;view=innings"
"Z Khan (IND)","2000-2014",92,127,24,1231,"75",11.95,0,3,29,"https://stats.espncricinfo.com/ci/engine/player/30102.html?class=1;template=results;type=batting;view=innings"
"DG Phadkar (IND)","1947-1959",31,45,7,1229,"123",32.34,2,8,3,"https://stats.espncricinfo.com/ci/engine/player/32309.html?class=1;template=results;type=batting;view=innings"
"DD Ebrahim (ZIM)","2001-2005",29,55,1,1225,"94",22.68,0,10,8,"https://stats.espncricinfo.com/ci/engine/player/55416.html?class=1;template=results;type=batting;view=innings"
"CB Fry (ENG)","1896-1912",26,41,3,1223,"144",32.18,2,7,3,"https://stats.espncricinfo.com/ci/engine/player/12930.html?class=1;template=results;type=batting;view=innings"
"S Wettimuny (SL)","1982-1987",23,43,1,1221,"190",29.07,2,6,5,"https://stats.espncricinfo.com/ci/engine/player/50844.html?class=1;template=results;type=batting;view=innings"
"JN Gillespie (AUS)","1996-2006",71,93,28,1218,"201*",18.73,1,2,13,"https://stats.espncricinfo.com/ci/engine/player/5392.html?class=1;template=results;type=batting;view=innings"
"Haroon Rasheed (PAK)","1977-1983",23,36,1,1217,"153",34.77,3,5,2,"https://stats.espncricinfo.com/ci/engine/player/40375.html?class=1;template=results;type=batting;view=innings"
